Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
530565, 1.84, --, --, --, 0.16, archana-software-ltd
507609, 4.82, 0.30, 73.50, 41.41, 70.42, olympic-oil-industries-ltd
531489, 19.23, 0.01, 15.67, 11.50, 3.18, cg-vak-software--exports-ltd
539189, 44.00, 0.08, --, --, 0.36, adhbhut-infrastructure-ltd
519457, 130.10, 0.06, 10.17, 6.01, 1.21, virat-crane-industries-ltd
536264, 163.87, 0.30, 25.76, 19.58, 24.44, tiger-logistics-(india)-ltd
506685, 272.26, --, 28.15, 18.83, 10.08, ultramarine--pigments-ltd
532543, 285.51, 0.09, 10.26, 3.96, 2.84, gp-petroleums-limited
532468, 940.95, 0.03, --, --, 45.71, kama-holdings-limited
506943, 2550.96, 0.10, 14.78, 11.17, 22.75, jbchemicals--pharmaceuticals-ltd
500163, 3678.31, 0.16, 19.37, 14.16, 69.24, godfrey-phillips-india-ltd
533088, 3726.58, 0.01, 17.23, 10.81, 20.43, mahindra-holidays--resorts-india-ltd
504067, 4384.41, --, 32.98, 23.76, 60.14, zensar-technologies-ltd
500233, 6922.94, 0.11, 31.81, 23.31, 36.00, kajaria-ceramics-ltd
532175, 7037.08, --, 21.73, 17.15, 26.92, cyient-limited
