Security_Code, Market_Cap, Debt_to_Equity, RoCE, RoNW, Operating_Profit_per_share, Secutity_Id
530565, 2.31, --, --, --, 0.16, archana-software-ltd
519031, 4.01, --, 15.18, 9.25, 4.14, shah-foods-ltd
538019, 10.80, --, --, --, 3.42, oceanaa-biotek-industries-ltd
531236, 17.65, 0.39, 13.93, 11.87, 10.74, mewar-polytex-ltd
531454, 18.71, 0.49, 15.63, 4.39, 1.24, polylink-polymers-(india)-ltd
532730, 18.78, --, 15.25, 28.60, 0.02, stl-global-ltd
531758, 40.66, --, --, --, 0.53, gkconsultants-ltd
514266, 46.99, 0.01, 25.10, 17.67, 15.83, zenith-fibres-ltd
538713, 49.20, 0.06, 22.56, 16.73, 5.36, atishay-infotech-ltd
526775, 55.80, --, --, --, 0.12, valiant-communications-ltd
524654, 76.04, 0.12, 15.41, 12.05, 21.59, natural-capsules-ltd
536264, 190.31, 0.30, 25.76, 19.58, 24.44, tiger-logistics-(india)-ltd
538540, 205.93, --, --, --, 0.01, ramchandra-leasing--finance-ltd
530331, 278.83, 0.07, 47.00, 30.74, 60.69, premco-global-ltd
522295, 434.50, 0.08, 24.23, 18.95, 27.70, control-print-ltd
505710, 607.57, 0.23, 22.14, 15.04, 3.26, grauer--weil-(india)-ltd
526725, 617.10, 0.02, 19.45, 12.58, 127.81, sandesh-ltd
517080, 881.94, 0.01, 23.87, 15.41, 16.27, high-ground-enterprise-ltd
500674, 10622.36, --, 20.67, 17.78, 147.14, sanofi-india-ltd
